strategy,model,task_id,status,pass_1st_round,rounds_to_pass,total_rounds,failed_test
multiagent,deepseek-coder:1.3b,3,fail_assert,False,,10,assert is_not_prime(2) == False
multiagent,deepseek-coder:1.3b,4,pass,False,2,2,
multiagent,deepseek-coder:1.3b,92,fail_assert,False,,10,assert is_undulating(1212121) == True
multiagent,deepseek-coder:1.3b,106,error_runtime,False,,10,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
multiagent,deepseek-coder:1.3b,111,pass,True,1,1,
multiagent,deepseek-coder:1.3b,119,pass,True,1,1,
multiagent,deepseek-coder:1.3b,131,pass,True,1,1,
multiagent,deepseek-coder:1.3b,135,fail_assert,False,,10,assert hexagonal_num(10) == 190
multiagent,deepseek-coder:1.3b,141,pass,True,1,1,
multiagent,deepseek-coder:1.3b,223,error_runtime,False,,10,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
multiagent,deepseek-coder:1.3b,224,pass,True,1,1,
multiagent,deepseek-coder:1.3b,252,pass,False,2,2,
multiagent,deepseek-coder:1.3b,256,pass,True,1,1,
multiagent,deepseek-coder:1.3b,272,pass,True,1,1,
multiagent,deepseek-coder:1.3b,277,pass,True,1,1,
multiagent,deepseek-coder:1.3b,281,pass,True,1,1,
multiagent,deepseek-coder:1.3b,295,fail_assert,False,,10,assert sum_div(8)==7
multiagent,deepseek-coder:1.3b,307,fail_assert,False,,10,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
multiagent,deepseek-coder:1.3b,308,fail_assert,False,,10,"assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]"
multiagent,deepseek-coder:1.3b,398,pass,False,6,6,
multiagent,deepseek-coder:1.3b,413,pass,True,1,1,
multiagent,deepseek-coder:1.3b,414,pass,True,1,1,
multiagent,deepseek-coder:1.3b,415,fail_assert,False,,10,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
multiagent,deepseek-coder:1.3b,419,pass,False,2,2,
multiagent,deepseek-coder:1.3b,428,pass,True,1,1,
multiagent,deepseek-coder:1.3b,435,pass,True,1,1,
multiagent,deepseek-coder:1.3b,443,pass,True,1,1,
multiagent,deepseek-coder:1.3b,447,pass,True,1,1,
multiagent,deepseek-coder:1.3b,452,fail_assert,False,,10,"assert loss_amount(1500,1200)==0"
multiagent,deepseek-coder:1.3b,455,fail_assert,False,,10,assert check_monthnumb_number(2)==False
multiagent,deepseek-coder:1.3b,459,pass,True,1,1,
multiagent,deepseek-coder:1.3b,463,pass,True,1,1,
multiagent,deepseek-coder:1.3b,562,pass,True,1,1,
multiagent,deepseek-coder:1.3b,563,pass,True,1,1,
multiagent,deepseek-coder:1.3b,577,fail_assert,False,,10,assert last_Digit_Factorial(4) == 4
multiagent,deepseek-coder:1.3b,581,fail_assert,False,,10,"assert surface_Area(3,4) == 33"
multiagent,deepseek-coder:1.3b,582,pass,True,1,1,
multiagent,deepseek-coder:1.3b,594,pass,True,1,1,
multiagent,deepseek-coder:1.3b,605,pass,True,1,1,
multiagent,deepseek-coder:1.3b,617,fail_assert,False,,10,"assert min_Jumps((3,4),11)==3.5"
multiagent,deepseek-coder:1.3b,620,fail_assert,False,,10,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
multiagent,deepseek-coder:1.3b,631,fail_assert,False,,10,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
multiagent,deepseek-coder:1.3b,644,fail_assert,False,,10,"assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]"
multiagent,deepseek-coder:1.3b,730,pass,True,1,1,
multiagent,deepseek-coder:1.3b,744,pass,True,1,1,
multiagent,deepseek-coder:1.3b,748,fail_assert,False,,10,"assert capital_words_spaces(""Python"") == 'Python'"
multiagent,deepseek-coder:1.3b,751,pass,True,1,1,
multiagent,deepseek-coder:1.3b,772,fail_assert,False,,10,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
multiagent,deepseek-coder:1.3b,787,pass,True,1,1,
multiagent,deepseek-coder:1.3b,798,pass,True,1,1,

strategy,multiagent
model,deepseek-coder:1.3b
total_tasks,50
pass@1,0.6200
